author,information,start,finish
Ambroise (0340?-0397 ; saint),Vie,0340,0397
Ammien Marcellin (0330?-0400?),Vie,0330,0395
Anastase I (0431?-0518 ; empereur d'Orient),Vie,0431,0518
antipater,Vie,0001,0001
antipater,Naissance (période),-0099,0001
antipater,Mort (période),0001,0099
appius-claudius,Vie,-0300,-0299
appius-claudius,Naissance (période),-0399,-0300
appius-claudius,Mort (période),-0299,-0200
Sidoine Apollinaire (0431?-0487? ; saint),Vie,0431,0487
Apulée (0125?-0180?),Vie,0125,0180
Arcadius (0377?-0408 ; empereur d'Orient),Vie,0377,0408
Aristote,Vie,-0384,-0322
Aristophane (0445?-0386? av. J.-C.),Vie,-0445,-0386
Artémidore d'Éphèse (01..-01..?),Vie,0199,0100
Artémidore d'Éphèse (01..-01..?),Naissance (période),0100,0199
Artémidore d'Éphèse (01..-01..?),Mort (période),0100,0199
Augustin (0354-0430 ; saint),Vie,0354,0430
Aulu-Gelle (0123?-0180?),Vie,0123,0180
Basile de Césarée (0329?-0379 ; saint),Vie,0329,0379
"César, Jules (0100-0044 av. J.-C.)",Vie,-0100,-0044
Cassiodore (0490?-0580?),Vie,0490,0580
cassius,Vie,0155,0235
"Cato, Valerius (0090-0001 av. J.C.)",Vie,-0090,-0001
Catulle (0087?-0052? av. J.-C.),Vie,-0087,-0052
celse,Vie,0199,0100
celse,Naissance (période),0100,0199
celse,Mort (période),0100,0199
Cicéron (0106-0043 av. J.-C.),Vie,-0106,-0043
Clément d'Alexandrie (0150?-021.?),Vie,0150,0250
Clément I (00..-0097? ; pape),Vie,0099,0101
Clément I (00..-0097? ; pape),Naissance (période),0001,0099
Clément I (00..-0097? ; pape),Mort (période),0101,0199
Quinte-Curce (00..-00..),Vie,0099,0001
Quinte-Curce (00..-00..),Naissance (période),0001,0099
Quinte-Curce (00..-00..),Mort (période),0001,0099
Denys le Petit (0497?-0545?),Vie,0497,0545
Dioclétien (0245-0313 ; empereur romain),Vie,0245,0313
Diodore de Sicile (0090?-0020? av. J.-C.),Vie,-0090,-0020
"Ennius, Quintus (0239-0169 av. J.-C.)",Vie,-0239,-0169
"Firmicus Maternus, Julius",Vie,0399,0400
"Firmicus Maternus, Julius",Naissance (période),0300,0399
"Firmicus Maternus, Julius",Mort (période),0400,0499
Venance Fortunat (0530-0601 ; saint),Vie,0530,0601
galien,Vie,0131,0201
gelase,Vie,0499,0500
gelase,Naissance (période),0400,0499
gelase,Mort (période),0500,0599
Grégoire I (0540?-0604 ; pape),Vie,0540,0604
greg-3,Vie,0540,0604
Denys d'Halicarnasse (006.? av. J.-C.-0007?),Vie,0069,0160
Denys d'Halicarnasse (006.? av. J.-C.-0007?),Naissance (période),0060,0069
Denys d'Halicarnasse (006.? av. J.-C.-0007?),Mort (période),0160,0169
heliodore,Vie,0299,0200
heliodore,Naissance (période),0200,0299
heliodore,Mort (période),0200,0299
Hermogenianus (02..-03..),Vie,0299,0200
Hermogenianus (02..-03..),Naissance (période),0200,0299
Hermogenianus (02..-03..),Mort (période),0200,0299
Hérodote (0484?-0420? av. J.-C.),Vie,-0484,-0420
Homère (08..?-08..? av. J.-C.),Vie,-0800,-0899
Homère (08..?-08..? av. J.-C.),Naissance (période),-0899,-0800
Homère (08..?-08..? av. J.-C.),Mort (période),-0899,-0800
Honorius (0384-0423 ; empereur romain),Vie,0384,0423
Horace (0065-0008 av. J.-C.),Vie,-0065,-0008
Hippocrate (0460-0377 av. J.-C. ; médecin),Vie,-0460,-0377
Innocent I (03..-0417 ; pape),Vie,0399,0400
Innocent I (03..-0417 ; pape),Naissance (période),0300,0399
Innocent I (03..-0417 ; pape),Mort (période),0400,0499
Isidore de Séville (0560?-0636 ; saint),Vie,0560,0636
Justinien Ier (0482-0565 ; empereur de Byzance),Vie,0482,0565
labeon,Vie,-0050,0020
Guillaume de Jumièges (10..-1090?),Vie,0399,0300
Guillaume de Jumièges (10..-1090?),Naissance (période),0300,0399
Guillaume de Jumièges (10..-1090?),Mort (période),0300,0399
Léon I (039.?-0461 ; pape),Vie,0399,0490
Léon I (039.?-0461 ; pape),Naissance (période),0390,0399
Léon I (039.?-0461 ; pape),Mort (période),0490,0499
livius,Vie,-0059,0027
Lycurgue (0390?-0324? av. J.-C.),Vie,-0390,-0324
Marcoul (0490?-0558 ; saint),Vie,0490,0558
Martial (0040?-0104?),Vie,0040,0104
maximien,Vie,0250,0310
"Modestinus, Herennius",Vie,0299,0200
"Modestinus, Herennius",Naissance (période),0200,0299
"Modestinus, Herennius",Mort (période),0200,0299
neratius,Vie,0099,0100
neratius,Naissance (période),0001,0099
neratius,Mort (période),0100,0199
papinien,Vie,0142,0212
"Paulus, Julius (01..-02..)",Vie,0199,0200
"Paulus, Julius (01..-02..)",Naissance (période),0100,0199
"Paulus, Julius (01..-02..)",Mort (période),0200,0299
Pausanias (01..-01..),Vie,0199,0100
Pausanias (01..-01..),Naissance (période),0100,0199
Pausanias (01..-01..),Mort (période),0100,0199
Pélage I (0500?-0561 ; pape),Vie,0599,0600
Pélage I (0500?-0561 ; pape),Naissance (période),0500,0599
Pélage I (0500?-0561 ; pape),Mort (période),0600,0699
Philon d'Alexandrie (0030? av. J.-C.-0040?),Vie,-0030,0070
Platon (0427?-0348? av. J.-C.),Vie,-0427,-0348
Plaute (0254-0184 av. J.-C.),Vie,-0254,-0184
Pline le Jeune (0061?-0114?),Vie,0061,0114
Plutarque (0046?-0120?),Vie,0046,0120
Pompée (0075-0035 av. J.-C.),Vie,-0075,-0035
pomponius,Vie,0199,0100
pomponius,Naissance (période),0100,0199
pomponius,Mort (période),0100,0199
Quintilien (0030?-0100?),Vie,0030,0100
s-germain,Vie,0499,0590
s-germain,Naissance (période),0490,0499
s-germain,Mort (période),0590,0599
s-paul,Vie,0099,0001
s-paul,Naissance (période),0001,0099
s-paul,Mort (période),0001,0099
Salluste (0086-0035 av. J.-C.),Vie,-0086,-0035
Salvien (0390?-0484?),Vie,0390,0484
Scipion l'Africain (0235-0183 av. J.-C.),Vie,-0235,-0183
Sénèque (0004 av. J.-C.-0065),Vie,-0004,0065
"Servius, Maurus Honoratus (0363?-03..)",Vie,0363,0463
Sévère Alexandre (0208-0235),Vie,0208,0235
Siculus Flaccus (01..-.... ; agriculteur),Vie,0199,0100
Siculus Flaccus (01..-.... ; agriculteur),Naissance (période),0100,0199
Siculus Flaccus (01..-.... ; agriculteur),Mort (période),0100,0199
"Silius Italicus, Tiberius Catius (0025?-0101)",Vie,0025,0101
Solon (0640?-0561 av. J.-C.),Vie,-0640,-0561
"Spartianus, Aelius (03..?-03..?)",Vie,0399,0300
"Spartianus, Aelius (03..?-03..?)",Naissance (période),0300,0399
"Spartianus, Aelius (03..?-03..?)",Mort (période),0300,0399
Suétone (0069?-0126?),Vie,0069,0126
Tacite (0055?-0120?),Vie,0055,0120
Térence (0190?-0159 av. J.-C.),Vie,-0190,-0159
Tertullien (0155?-0222?),Vie,0155,0222
Théophile Antecessor (05..-05..),Vie,0599,0500
Théophile Antecessor (05..-05..),Naissance (période),0500,0599
Théophile Antecessor (05..-05..),Mort (période),0500,0599
Thucydide (0460?-0395? av. J.-C.),Vie,-0460,-0395
Tite-Live (0059? av. J.-C.-0017),Vie,-0059,0017
Ulpien (0160-0228),Vie,0160,0225
valentinien,Vie,0419,0455
"Velleius Paterculus, Caius (0019? av. J.-C.-0031?)",Vie,-0019,0031
Virgile (0070-0019 av. J.-C.),Vie,-0070,-0019
"xenophon",Vie,0299,0300
"xenophon",Naissance (période),0200,0299
"xenophon",Mort (période),0300,0399
"Vossius, Gerardus Joannes (1577-1649)",Vie,-0430,-0355
Zénon (0430?-0491 ; empereur d'Orient),Vie,0430,0491
